Identifier,ST,Pool,Quarter,Year,Period,Units,Scripts,Total Amount,Market Share,PDL Status
0,TX,Independent,1,2019,20191.00,48,40,27333.41,0.12987013,0
0,UT,SSDC,1,2019,20191.00,36.5,26,13163.48,0.604651163,0
0,UT,SSDC,1,2019,20191.00,0,0,0,0,0
0,VA,NMPI,1,2019,20191.00,343,321,192576.49,0.609108159,0
1,VA,NMPI,1,2019,20191.00,0,0,0,0.609108159,0
1,VA,NMPI,1,2019,20191.00,0,0,0,0.24288425,0
0,VA,NMPI,1,2019,20191.00,213,128,79501.16,0.24288425,0
0,VA,NMPI,1,2019,20191.00,97,78,54455.99,0.14800759,0
0,VA,NMPI,1,2019,20191.00,0,0,0,0.14800759,0
1,VT,SSDC,1,2019,20191.00,52,49,27905.21,1,0
1,VT,SSDC,1,2019,20191.00,0,0,0,0,0
1,VT,SSDC,1,2019,20191.00,0,0,0,0,0
1,WI,TOP$,1,2019,20191.00,322,311,183582.77,0.831550802,0
1,WI,TOP$,1,2019,20191.00,55.5,35,20954.29,0.093582888,0
1,WI,TOP$,1,2019,20191.00,43,28,24232.36,0.07486631,0
1,WI,TOP$,1,2019,20191.00,0,0,0,0.07486631,0
1,WY,SSDC,1,2019,20191.00,0,0,0,0,0
1,WY,SSDC,1,2019,20191.00,0,0,0,0,0
0,DE,SSDC,1,2019,20191.00,0,0,0,0,1
1,IL,Independent,1,2019,20191.00,0,0,0,0.73255814,1
0,IL,Independent,1,2019,20191.00,208,189,127881.68,0.73255814,1
0,IL,Independent,1,2019,20191.00,27,23,19002.45,0.089147287,1
0,IL,Independent,1,2019,20191.00,0,0,0,0.089147287,1
0,IL,Independent,1,2019,20191.00,0,0,0,0.089147287,1
1,ND,SSDC,1,2019,20191.00,0,0,0,0,1
1,ND,SSDC,1,2019,20191.00,0,0,0,0,1
0,UT,SSDC,1,2019,20191.00,19,17,8614.66,0.395348837,1
1,UT,SSDC,1,2019,20191.00,0,0,0,0.395348837,1
1,AK,NMPI,2,2019,20192.00,0,0,0,0.692307692,0
1,AK,NMPI,2,2019,20192.00,63,54,35358.02,0.692307692,0
1,AK,NMPI,2,2019,20192.00,36,24,13478.8,0.307692308,0
1,AK,NMPI,2,2019,20192.00,0,0,0,0,0
1,AK,NMPI,2,2019,20192.00,0,0,0,0,0
1,AL,Independent,2,2019,20192.00,98,94,58657.72,0.632683658,0
1,AL,Independent,2,2019,20192.00,372,328,216965.67,0.632683658,0
1,AL,Independent,2,2019,20192.00,156,104,62730.44,0.155922039,0
1,AL,Independent,2,2019,20192.00,159,141,93254.28,0.211394303,0
1,AL,Independent,2,2019,20192.00,0,0,0,0.211394303,0
0,AR,NMPI,2,2019,20192.00,0,0,0,1,0
0,AR,NMPI,2,2019,20192.00,0,0,0,1,0
1,AR,NMPI,2,2019,20192.00,15,15,8448.9,1,0
1,AR,NMPI,2,2019,20192.00,0,0,0,0,0
0,AR,NMPI,2,2019,20192.00,0,0,0,0,0
0,AR,NMPI,2,2019,20192.00,0,0,0,0,0
0,AZ,Independent,2,2019,20192.00,111,110,62274.7,0.605681818,0
1,AZ,Independent,2,2019,20192.00,0,0,0,0.605681818,0
0,AZ,Independent,2,2019,20192.00,486,423,272663.07,0.605681818,0
0,AZ,Independent,2,2019,20192.00,279,171,103721.71,0.194318182,0
0,AZ,Independent,2,2019,20192.00,170,159,92875.24,0.2,0
0,AZ,Independent,2,2019,20192.00,18,17,9994.68,0.2,0
